"","PL1013","PL1015","PL1023","PL1043","PL1159","PL1182","PL1226","PL1362","PL1365","PL1383","PL1493","PL1506","PL1618","PL1626","PL1627","PL1648","PL1720","PL1755","PL1932","PL1949","PL1962","PL2102","PL2169","PL2195","PL2209","PL2291","PL2338","PL2353","PL2360","PL2406","PL475","PL519","PL629","PL687","PL808","PL810","PL893"
"ENSG00000000419",35,200,1181,414,0,1039,89,851,0,389,521,0,0,0,520,0,997,34,175,1836,3177,451,241,368,1374,61,362,1211.001,997,1210,253,0,368,619,1023,453,0
"ENSG00000000457",403,0,50,564,304,321,585,466,0,119,472,0,103,0,0,0,1743.999,178,322,135,106,897,590,0,296,38,90,549,1495.999,2717.001,612,520,9,518,666,201,365
"ENSG00000000460",284,0,377,0,120,0,153,0,0,0,0,0,0,0,0,0,714,0,0,0,557,81,22,224,200,123,450,1209,668,0,120,0,242,556,405,65,0
"ENSG00000000938",2863,1670,6676.001,4711.001,3291,2213,3877,3773,4064,6874.001,5200,2541,2594,1257,5328,766,2599,3807,3238,5031,7661,6820.001,7178,4186,6391,1238,4550,9406,27263,7853,2273,3769,1846,3838.999,11801,4797,4973
"ENSG00000000971",0,20,666,83.289,0,0,0,197,0,963,188,0,0,0,0,3,0,0,0,243,0,305.507,0,0,0,18,114,0,348,197,38,0,54,0,204.815,0,61
"ENSG00000001036",0,55,18,278,1923,0,337,0,0,171,257,0,0,0,0,0,134,0,0,412,0,342,0,1125,0,0,82,132,531,750,70,122,62,0,207,101,0
"ENSG00000001084",4109.999,432.001,1206.001,2283,1999,393,1183.999,557,692,1053,1666.999,731,843,71,2803,2097,1298,807,1780.001,991,1132,2088,4707.999,2536,264,244,3326.999,612,4540,1669,1221,778,855.999,3286,1031,1394,2764
"ENSG00000001167",757,395,804,2281,2745,1980,2269,561,470,1804,1404,866,9,0,1515,0,0,845,702,2770,1029,3254,3358,791,590,268,202,1030,2677,1544,624,1205,201,1218,1907,643,910
"ENSG00000001460",142,0,336,0,118,0,102,0,0,0,19,0,0,0,0,0,0,0,189,0,0,111,565,0,0,0,0,0,25,0,0,0,0,379,0,0,0
"ENSG00000001461",372,176,657,154,826,0,833,64,197,796,509,0,0,0,262,0,792,0,451,1856,508,704,496,808,346,241,88,109,1163,0,323,172,194,229,841,101,804
"ENSG00000001497",1951,563,1022,1463,51,0,3846,585,824,2145,2151,93,2200,37,1317,0,896,646,74,4107,4142,2443,3701,6866,2486,677,2309,1673,1239.001,3144,179,476,1369,3434.001,6810,1849.001,2620
"ENSG00000001617",0,10,0,0,0,0,0,237,0,0,107,0,0,0,0,0,0,0,76,356,0,45,0,561,0,17,22,119,98,0,0,0,5,0,51,0,336
"ENSG00000001629",1425,649,1771,791,1598,0,582,248,2091,494,1371.001,147,2215,599,1544,0,1582,296,1333,1641,1900,1293,1252,1908,3275,509,595,3032,2325,5324.001,988,1136,880.001,889,3124,1067.001,2475
"ENSG00000001630",0,0,0,171.96,0,0,69,0,370,415,0,0,0,0,0,0,0,0,0,4,0,0,248,653,200,70,0,659,287.169,412,102,0,5,302,50.186,55.833,0
"ENSG00000001631",1528,193.588,2232.037,1878.004,1077,1495,540,660,829,1076,1918,0,170,1208,663,561.583,256,352,211,4051.056,347,1290.766,1458.999,766,683.999,383.001,1433,2222,1524.509,2748,1486,518,803,594,2179.65,596.617,866
"ENSG00000002016",0,0,0,58,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,49,537,41,0,0,0,0,0,47,319,0,53,104,0,77,296,0,0
"ENSG00000002330",0,195,852,8,278,377,358,857,0,707,847,723,0,0,0,0,843,9,622,0,892,969,306,0,274,93,486,1247,955,0,267,865.999,464.999,527,391,354,128
"ENSG00000002549",1591,380,1828,2715,831,1614.999,1848,411,1832,5670,1868,1438,4283,746,486,0,1811,1641,1004,6113,1741,2424,3513,2051,1950,465,2967,3027,2112,4138,628,461,193,265,2050,1877,1636
"ENSG00000002586",3887,1049,3609.001,1408,737,2087,2601.999,1575,1018.001,3592,5550.001,331,1776,172,1933,512,2110,1799.001,1086,9717.001,3308,3268.999,3428.999,7607.999,1886,648,1885,5542,4557,1811.001,15545.999,1046.001,725,1052,2962,1504.001,2489
"ENSG00000002822",5558,215.001,3148.999,1852.291,1228,0,2127.999,413,667,611,1232.001,1782,2340,924,1575.001,945,39,377,1957.999,5213,780.854,1413.999,3826.591,1131,2174,526,8539.553,2256.741,3675.081,1715,975,424,678.999,5004.001,4654.622,329,1412
"ENSG00000002834",7270.999,1789,11566,9739,5668,6946,7117.999,4321,2030.001,13508.999,9740.001,4662,4657,7382,4922.999,533,10575.001,5044,5089.001,10818,9790.999,11889.001,8851.999,16047,8867,2882,13497,14723,21942.001,9078.001,7647,2161.001,2835,5719,20339,6214.999,7473.999
"ENSG00000002919",925,74,534,1467,1,0,287,382,324,350,530,0,0,0,202,1368,97,497,126,1295.001,1000,1278.001,214,0,305,394,585,741.999,1892.002,3289,1383,29,340.001,484,321,199,94
"ENSG00000002933",707,187,0,0,0,0,0,0,0,256,592,0,0,0,0,0,0,305,0,0,0,71,0,212,0,0,0,1155,2812,0,145,76,0,0,0,425,0
"ENSG00000003056",567,170,537,401.999,0,0,912,286,252,388,881,8,0,0,1147,0,0,0,602,1295.001,4,2001,826,1273,1404,287,161,2956,1274,511,920.001,277,310,193,1601.999,849,1384
"ENSG00000003147",412,144,544,128,1093,1,227,436,0,278,502,605,1143,2877,525,1482,1830,14,423,277,172,1353,1511,201,0,196,472,515,549,116,877,357,467.001,119,877,225,895
"ENSG00000003249",342,0,0,23,0,0,0,0,0,0,511,0,0,152,828,0,1027,0,110,984,438,0,0,0,0,168,0,161,131,0,0,74,0,0,0,545,208
"ENSG00000003393",0,91,150,309,863,0,475,268,0,4,473,0,0,0,1299,1860,1517,0,630,1134.001,803,803,1439,204,0,163,763,1290,0,349,547,271,643,769,1204,190,1584
"ENSG00000003400",965,167,971.999,1479.999,773,971,92,519,19,1166,319,1635,220,0,476,0,243,1615,760,1092,1128,1947,431,2432,2341.001,158,1350,1222,1484,964,918,110,390.999,706,2313,654.999,310
"ENSG00000003402",3542.999,5147,22083.53,13289.321,8127,2025,13291.001,7094.001,2502,22849.998,17634,1107,7862.089,1790,8647.999,5493,23389,2898,8840,37976,20252,23311.001,22335,21743,32191,4682.005,23226.259,34596,58611.999,21752,12311.895,6941,8570.999,13558,32139.001,20255.001,15704
"ENSG00000003436",1454,224,1078,474,907,0,825,86,0,305,459,192,660,0,2,1867,96,0,210,2091,86,852,726,2238.999,4,349,194,117,1033.999,2589.001,2999,307,645.001,547,822.999,725.999,23
"ENSG00000003509",0,269,5,38,0,2920,0,210,0,0,582,0,1068,0,533,0,450,0,0,587,0,107,79,491,0,10,0,0,238,448,327,0,112,211,97.999,939,0
"ENSG00000003756",1742,1578.157,5246.105,2297,2355,4825.999,2540.186,2937.012,661,3257,3472.115,534,2335,1246,5019,251,3289,635.902,1796.001,10765.887,10240,5394.578,6812.623,6270.308,6523.224,1027,4631,6937.001,9368,4740,6109.494,1717.999,1529.161,8234.999,8173.678,3335,4566
"ENSG00000003989",0,0,0,5,0,0,58,171,8,40,54,0,0,0,0,0,0,0,34,1,0,0,0,526,0,0,0,96,274,38,0,153,0,0,0,50,0
"ENSG00000004059",727,359,869.001,959,909.823,1212,993,1709,383,972,1224,961,35,0,1211.001,0,589,0,587,2638,1316,1280,551,3311,585,103,1372.001,2575,2017.999,2512,1708,64,446,991,1724,1341.001,590
"ENSG00000004139",2211,101,173,402.974,0,0,648,213,0,335,641,490,0,0,0,0,2912,737,204,66,0,334,0,64,0,14,0,29,105,27,40,0,138,0,192,561.57,0
"ENSG00000004142",479,413,666,2234,0,2647,1865,599,1391,2314,162,0,0,133,2093,1,2400,608,320,2234,584,1212,1329,1521,284,254,3817,2535,1401,1732,387,647,182,128,1747,970,312
"ENSG00000004399",3379,659,2259,2034,0,0,977,0,119,2071,1504,1106,0,0,1507,0,980,0,1422.999,3649,2723,3229,1270,2098,1925,600.999,3372.001,775,6434,449,526,191,872,96,3437.999,800,794
"ENSG00000004455",192,512.999,1431,1178.266,821,1462,1792,1269.999,463,3010,1432,0,0,1504,538.999,1299,683,1171,1191,1183,1000,3732,2811,2444.001,2222,525,1355,2810.999,3346.915,1091,1874.999,239,425,653,2592,1055,1488
"ENSG00000004468",0,248,18,324,0,0,157,76,0,713,43,0,0,815,180,2544,305,0,82,345,218,163,1067,708,0,243,424,493,174,1953,249,195,202,472,271,545,211
"ENSG00000004478",2783,461,3139,1648,841,1470,1425,418,3024,3021,3181,171,1448,0,1029,3674,3182,301,1356,6134,1386,4225,3359,4071,3127,245,1467,2250,4421,3477,1013,1,935,3316,1846,1696,128
"ENSG00000004487",1646,1295,5548.001,3514,815,1372,1707.999,3418.001,2066,2763,3269,332,224,2040,1666,1073,2727,2844,1929,9893,3348,7362,7890,4973,2888.001,1189,4048.001,6807.001,12157,4566,6025.999,2262,2342,7241.001,6417.001,5232.999,2740
